chain_id,seed_id,seed_title,direction,source,work_id,title,year,doi,decision,c001_impact,metadata_status,scientific_verification
CH011,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref44,Istanbul byzantine fault tolerance,2017,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH012,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref9,Project Jasper: Are distributed wholesale payment systems feasible yet,2017,,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH013,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref8,Project UBIN Central Bank Digital Money Using Distributed Ledger Technology,2017,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH014,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref23,Delivery Versus Payment on Distributed Ledger Technologies Project Ubin,2018,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH015,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref10,Experimental study on prototype system of central bank digital currency,2018,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH016,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W2794533297,"OmniLedger: A Secure, Scale-Out, Decentralized Ledger via Sharding",2018,10.1109/sp.2018.000-5,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,PUBLIC_METADATA,NOT_PERFORMED
CH017,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W2897676665,RapidChain,2018,10.1145/3243734.3243853,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH018,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W2999674664,A Blockchain-based Framework for Central Bank Digital Currency,2019,10.1109/soli48380.2019.8955032,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH019,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W4248175462,Bitcoin: A Peer-to-Peer Electronic Cash System,2019,10.2139/ssrn.3440802,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH020,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W4250767390,Casting Light on Central Bank Digital Currency,2019,10.1093/oso/9780190077310.003.0012,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH021,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3013450807,The Rise of Digital Money,2019,10.5089/9781498324908.063,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH022,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3035193423,A Compendium of Practices for Central Bank Digital Currencies for Multinational Financial Infrastructures,2020,10.1109/access.2020.3001970,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH023,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W4238679076,A Survey of Research on Retail Central Bank Digital Currency,2020,10.2139/ssrn.3652492,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH024,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3046061825,Blockchain Application for Central Banks: A Systematic Mapping Study,2020,10.1109/access.2020.3012295,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,PUBLIC_METADATA,NOT_PERFORMED
CH025,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref6,Central bank digital currencies Foundational principles and core features,2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH026,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref31,Central bank digital currency An innovation in payments R3,2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH027,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref29,Central bank digital currency policy-maker toolkit,2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH028,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3124663043,Central bank digital currency: Central banking for all?,2020,10.1016/j.red.2020.12.004,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH029,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref25,"Central bank digital currency: Objectives, preconditions and design choices",2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH030,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3047794938,Design Choices for Central Bank Digital Currency: Policy and Technical Considerations,2020,10.3386/w27634,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH031,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref16,Group of Thirty Digital Currencies and Stablecoins Risks Opportunities and Challenges Ahead,2020,,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH032,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref22,Impending Arrival&#x2014;A Sequel to the Survey on Central Bank Digital Currency,2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH033,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref18,Inthanon&#x2013;Lionrock Leveraging Distributed Ledger Technology to Increase Efficiency in Cross-Border Payments,2020,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH034,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3036560928,Privacy in CBDC technology,2020,10.34989/san-2020-9,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH035,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3081120400,"Rise of the Central Bank Digital Currencies: Drivers, Approaches and Technologies",2020,10.2139/ssrn.3724070,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH036,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref40,The Riksbank to test technical solution for the e-krona,2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH037,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3009952230,The Technology of Retail Central Bank Digital Currency,2020,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH038,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3146923164,A Hybrid Model for Central Bank Digital Currency Based on Blockchain,2021,10.1109/access.2021.3071033,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH039,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref11,"A survey on blockchain interoperability: Past, present, and future trends",2021,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH040,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W4205878881,Blockchain Application for Central Bank Digital Currencies (CBDC),2021,10.1109/bcca53669.2021.9657012,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH041,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3170869728,Central bank digital currency: the quest for minimally invasive technology,2021,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH042,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref19,Global CBDC Challenge Problem Statements,2021,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH043,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W4367159349,Halfway to Cancun: The Economic Collocation of a Peasant Community in Yucatan,2021,10.7202/1077823ar,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH044,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref48,Logica Formal Logic Proof,2021,,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH045,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3155841289,Multi-CBDC arrangements and the future of cross-border payments,2021,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH046,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3209004514,Permission Blockchain Network based Central Bank Digital Currency,2021,10.1109/gucon50781.2021.9574020,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,PUBLIC_METADATA,NOT_PERFORMED
CH047,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref20,Ready steady go? Results of the third BIS survey on central bank digital currency,2021,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH048,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W3214827879,Shard scheduler,2021,10.1145/3479722.3480989,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH049,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4312252820,A UTXO-based Sharding Method for Stablecoin,2022,10.1109/bcca55292.2022.9922204,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH050,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4312944307,Critical Review of Blockchain Consensus Algorithms: challenges and opportunities,2022,10.33411/ijist/2022040505,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH051,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4385625876,Blockchain application in preserving authenticity and enabling transparency in the approval of loans for the clients in banking system,2023,10.1109/icaeca56562.2023.10200205,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH052,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4387982506,Central Bank Digital Currency (CBDC) Information Technology System Design : A Literature Review,2023,10.1109/iciss59129.2023.10291677,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH053,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4379260293,Development of a research environment for the operational and computational architecture of central bank digital currency software,2023,10.32362/2500-316x-2023-11-3-7-16,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH054,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4317935163,Long-Range attack detection on permissionless blockchains using Deep Learning,2023,10.1016/j.eswa.2023.119606,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH055,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4390188039,Software Code Quality Measurement: Implications from Metric Distributions,2023,10.1109/qrs60937.2023.00054,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH056,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4360616377,Zero‐trust‐based security model against data breaches in the banking sector: A blockchain consensus algorithm,2023,10.1049/blc2.12028,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH057,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4399051568,Central bank digital currencies: a comprehensive systematic literature review on worldwide research emergence and methods used,2024,10.1108/ajb-12-2023-0210,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH058,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4408326814,Central Bank Digital Currency Design Concepts: A Multivocal Literature Review,2024,10.1145/3685243.3685250,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH059,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4400386471,Digital Assistant for Video KYC Framework in India,2024,10.46632/daai/4/2/12,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH060,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4391826085,DLT-Based Central Bank Digital Currency Key Concepts,2024,10.1007/978-3-031-45651-0_30,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH061,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4392573128,"Economic, Social, and Environmental Impacts of CBDCs",2024,10.4018/979-8-3693-1882-9.ch016,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH062,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4404565120,"Enhancing foreign exchange reserve security for central banks using Blockchain, FHE, and AWS",2024,10.1016/j.jksuci.2024.102251,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH063,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4399735949,Multi-central bank digital currencies arrangements: a multivocal literature review,2024,10.1108/cfri-09-2023-0221,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH064,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4396782832,Retail Central Bank Digital Currency Design Choices: Guide for Policymakers,2024,10.1109/access.2024.3399113,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH065,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4391574766,Scalability meets regulation: UTXO-based sharding and zero-knowledge proofs for regulated digital currencies,2024,10.1007/s10586-023-04247-9,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH066,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4410538449,Application of Blockchain in the Development of Central Bank Digital Currencies,2025,10.1109/ictcs65341.2025.10989459,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH067,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4408681342,Central Bank Digital Currency: A Multivocal Literature Review,2025,10.1108/jide-03-2024-0013,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH068,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4407553814,Cloud-based semi-quantum money,2025,10.1007/s11128-025-04669-x,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH069,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4412171019,Development of Digital Currency based on Network Security Encryption Technology and AI Intelligent Information Monitoring,2025,10.1109/icdsis65355.2025.11070872,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH070,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W4409891401,Optimization of industrial waste composition for eco-cement production using machine learning with meta-heuristic method,2025,10.1016/j.resconrec.2025.108328,EXCLUDE_NON_CBDC_CITATION,NO_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH071,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,forward,openalex_works,https://openalex.org/W7160498623,"Designing Retail Central Bank Digital Currencies: A Systematic Literature Review of Trade-Offs Between Security, Privacy, and Financial Stability",2026,10.3390/ijfs14050122,RETAIN_CBDC_CITATION,CHECKS_LATER_INTERPRETATION_OF_CEV,PUBLIC_METADATA,NOT_PERFORMED
CH072,SSRN539,CBDC Cross-Border Settlement Prototype: Programmable Compliance for Cross-Border CBDC Settlement Using ISO 20022 and FATF Travel Rule Automation,backward,crossref_reference_list,ref7,Exploring anonymity in central bank digital currencies,2021,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH073,SSRN539,CBDC Cross-Border Settlement Prototype: Programmable Compliance for Cross-Border CBDC Settlement Using ISO 20022 and FATF Travel Rule Automation,backward,crossref_reference_list,ref2,"Monetary Authority of Singapore (MAS), Project Dunbar: International Settlements using Multi-CBDC Platforms",2022,,RETAIN_CBDC_PREDECESSOR,CHECKS_PRE_CEV_CBDC_SCOPE,REFERENCE_METADATA_ONLY,NOT_PERFORMED
